"","name","category_list","market","funding_total_usd","status","state_code","region","city","funding_rounds","founded_at","founded_month","founded_quarter","founded_year","seed","venture","equity_crowdfunding","undisclosed","convertible_note","debt_financing","angel","grant","private_equity","post_ipo_equity","post_ipo_debt","secondary_market","product_crowdfunding","round_A","round_B","round_C","round_D","round_E","round_F","round_G","round_H","first_funding_day","first_funding_month","first_funding_year","last_funding_day","last_funding_month","last_funding_year","post_success"
"1","#waywire","|Entertainment|Politics|Social Media|News|","News",1750000,"acquired","NY","New York City","New York",1,"1","6","Q2","2012",1750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30","6","2012","30","6","2012","1"
"8","1-800-DOCTORS","|Health and Wellness|","Health and Wellness",1750000,"operating","NJ","Newark","Iselin",1,"1","1","Q1","1984",0,0,0,0,1750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","3","2011","2","3","2011","0"
"10","10-20 Media","|E-Commerce|","E-Commerce",2050000,"operating","MD","Baltimore","Woodbine",4,"1","1","Q1","2001",0,0,0,0,0,2050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18","6","2009","28","12","2011","0"
"11","1000 Corks","|Search|","Search",40000,"operating","OR","Portland, Oregon","Lake Oswego",1,"1","1","Q1","2008",40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23","8","2011","23","8","2011","0"
"12","1000memories","|Curated Web|","Curated Web",2535000,"acquired","CA","SF Bay Area","San Francisco",2,"1","7","Q3","2010",15000,2520000,0,0,0,0,0,0,0,0,0,0,0,2520000,0,0,0,0,0,0,0,"1","1","2010","16","2","2011","1"
"13","1000museums.com","|Curated Web|","Curated Web",4962651,"operating","WA","Seattle","Bellevue",6,"1","1","Q1","2008",0,3814772,0,0,0,1147879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14","10","2009","19","9","2014","0"
"14","100health","|Health Care Information Technology|","Health Care Information Technology",420000,"operating","WI","Madison","Madison",1,"4","7","Q3","2014",420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"26","11","2014","26","11","2014","0"
"15","100Plus","|Analytics|","Analytics",1250000,"acquired","CA","SF Bay Area","San Francisco",2,"16","9","Q3","2011",750000,5e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","11","2011","30","11","2011","1"
"16","1010data","|Software|","Software",3.5e+07,"operating","NY","New York City","New York",1,"1","1","Q1","2000",0,3.5e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8","3","2010","8","3","2010","0"
"17","10BestThings","|Curated Web|","Curated Web",50000,"closed","OH","Cleveland","Cleveland",1,"1","4","Q2","2009",50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","4","2009","1","4","2009","0"
"19","10X Technologies","|Biotechnology|","Biotechnology",3e+06,"operating","CA","SF Bay Area","Oakland",1,"1","1","Q1","2012",0,0,0,0,0,3e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","11","2012","7","11","2012","0"
"20","10X10 Room","|Software|","Software",77500,"operating","MA","Boston","Lexington",1,"1","1","Q1","2010",0,0,0,0,0,77500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12","10","2011","12","10","2011","0"
"24","121nexus","|Politics|Technology|Medical Devices|Pharmaceuticals|Personalization|Software|","Pharmaceuticals",794000,"operating","RI","Providence","Providence",6,"7","10","Q4","2011",69000,0,0,0,0,0,5e+05,225000,0,0,0,0,0,0,0,0,0,0,0,0,0,"6","2","2012","1","1","2014","0"
"26","1366 Technologies","|Manufacturing|","Manufacturing",66450000,"operating","MA","Boston","Bedford",8,"1","1","Q1","2007",0,63450000,0,0,0,0,0,3e+06,0,0,0,0,0,12400000,28400000,17500000,0,0,0,0,0,"27","3","2008","12","12","2013","0"
"27","140 Proof","|Interest Graph|Advertising|","Advertising",5500000,"operating","CA","SF Bay Area","San Francisco",2,"11","1","Q1","2010",0,5500000,0,0,0,0,0,0,0,0,0,0,0,3e+06,2500000,0,0,0,0,0,0,"1","7","2009","28","4","2011","0"
"28","140Fire","|Entertainment|Sports|Real Time|Social Media|Video|Advertising|","Entertainment",5e+05,"operating","CA","Los Angeles","Santa Monica",1,"1","1","Q1","2010",5e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5","5","2010","5","5","2010","0"
"29","15Five","|Software|","Software",3400000,"operating","CA","SF Bay Area","San Francisco",3,"1","5","Q2","2011",2200000,0,0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","2012","2","10","2014","0"
"31","169 ST.","|Entertainment|Games|","Games",50000,"operating","FL","Orlando","Lake Mary",1,"15","5","Q2","2009",0,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","6","2009","1","6","2009","0"
"32","170 Systems","|Software|","Software",1.4e+07,"acquired","MA","Boston","Bedford",1,"1","1","Q1","1990",0,1.4e+07,0,0,0,0,0,0,0,0,0,0,0,1.4e+07,0,0,0,0,0,0,0,"16","4","2002","16","4","2002","1"
"35","1DayMakeover","|Shopping|Cosmetics|Personal Health|Lifestyle|Fashion|E-Commerce|","E-Commerce",50000,"closed","CA","Orange County, California","Santa Ana",1,"30","6","Q2","2008",50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30","6","2008","30","6","2008","0"
"37","1Energy Systems","|Software|","Software",1450000,"operating","WA","Seattle","Seattle",1,"1","1","Q1","2010",0,1450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22","4","2013","22","4","2013","0"
"38","1Life Healthcare","|Services|Health and Wellness|Health Care|","Health and Wellness",3e+07,"operating","CA","SF Bay Area","San Francisco",1,"1","1","Q1","2002",0,3e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e+07,0,0,0,"21","3","2013","21","3","2013","0"
"39","1Mind","|Social Media|","Social Media",5e+05,"operating","NH","Manchester, New Hampshire","Hampton Falls",1,"1","1","Q1","2011",5e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5","8","2013","5","8","2013","0"
"41","1spire","|Manufacturing|","Manufacturing",30000,"operating","TX","Houston","Houston",1,"1","10","Q4","2011",0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20","12","2011","20","12","2011","0"
"44","1stdibs","|E-Commerce|","E-Commerce",1.17e+08,"operating","NY","New York City","New York",4,"1","1","Q1","2001",0,5.7e+07,0,6e+07,0,0,0,0,0,0,0,0,0,0,0,1.5e+07,0,0,0,0,0,"3","11","2011","24","1","2014","0"
"45","1stGig.com","|E-Commerce|","E-Commerce",750000,"operating","NY","Albany, New York","Saratoga Springs",1,"1","8","Q3","2009",0,0,0,0,0,0,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","10","2012","1","10","2012","0"
"47","1World Online","|Mobile|Analytics|Big Data|Enterprise Software|","Enterprise Software",1500000,"operating","CA","SF Bay Area","San Jose",2,"1","12","Q4","2011",0,1500000,0,0,0,0,0,0,0,0,0,0,0,1500000,0,0,0,0,0,0,0,"2","7","2013","1","12","2013","0"
"48","20/20 Gene Systems Inc.","|Biotechnology|","Biotechnology",150000,"operating","MD","Washington, D.C.","Rockville",1,"1","5","Q2","2000",0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"25","9","2012","25","9","2012","0"
"50","20x200","|Social Commerce|Art|E-Commerce|","Art",2800000,"operating","NY","New York City","New York",2,"1","9","Q3","2007",0,2800000,0,0,0,0,0,0,0,0,0,0,0,2800000,0,0,0,0,0,0,0,"1","10","2009","1","8","2010","0"
"53","22nd Century Group","|Biotechnology|","Biotechnology",15034750,"operating","NY","NY - Other","Clarence",6,"1","1","Q1","1998",0,12528500,0,0,0,2506250,0,0,0,0,0,0,0,2428500,0,0,0,0,0,0,0,"28","12","2010","18","9","2014","0"
"54","23andMe","|Search|Biotechnology|","Biotechnology",111949900,"operating","CA","SF Bay Area","Mountain View",6,"1","4","Q2","2006",0,110549900,0,0,0,0,0,1400000,0,0,0,0,0,9e+06,12600000,3.1e+07,57949900,0,0,0,0,"1","5","2007","29","7","2014","0"
"59","24Fundraiser.com","|Non Profit|Social Fundraising|","Social Fundraising",4e+05,"operating","IL","Chicago","Willowbrook",1,"1","8","Q3","2007",4e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","5","2014","1","5","2014","0"
"60","24M Technologies","|Clean Technology|","Clean Technology",1.6e+07,"operating","MD","Salisbury","Cambridge",1,"1","1","Q1","2010",0,1.6e+07,0,0,0,0,0,0,0,0,0,0,0,1.6e+07,0,0,0,0,0,0,0,"16","8","2010","16","8","2010","0"
"61","24PageBooks","|Software|","Software",50000,"closed","NY","Rochester, New York","Rochester",1,"1","1","Q1","2010",50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24","5","2011","24","5","2011","0"
"62","250ok","|Software|","Software",2e+05,"operating","IN","Indianapolis","Indianapolis",1,"1","1","Q1","2012",2e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","9","2012","1","9","2012","0"
"64","27 Perry","|Finance|Marketplaces|E-Commerce|","E-Commerce",118000,"closed","CO","Denver","Boulder",1,"25","7","Q3","2012",118000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17","5","2012","17","5","2012","0"
"65","28msec","|Cloud Computing|Web Development|Databases|Software|","Software",5844811,"operating","CA","SF Bay Area","Palo Alto",1,"1","1","Q1","2008",0,5844811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"28","10","2013","28","10","2013","0"
"69","2DOLife.com","|Finance|Software|","Software",250000,"operating","CA","SF Bay Area","San Pablo",1,"1","12","Q4","2011",0,0,0,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,"10","11","2013","10","11","2013","0"
"70","2GO Mobile Solutions","|Software|","Software",275000,"operating","TX","Dallas","Plano",1,"1","1","Q1","2008",0,0,0,0,0,0,275000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9","4","2010","9","4","2010","0"
"71","2nd Story Software, Inc.","|Software|","Software",8.5e+07,"acquired","IA","Cedar Rapids","Cedar Rapids",1,"15","2","Q1","1998",0,0,0,0,0,0,0,0,8.5e+07,0,0,0,0,0,0,0,0,0,0,0,0,"30","3","2005","30","3","2005","1"
"72","2nd Watch","|Cloud Infrastructure|Corporate IT|Enterprise Software|","Corporate IT",37644420,"operating","WA","Seattle","Seattle",4,"1","1","Q1","2010",0,37644420,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3e+07,0,0,0,0,0,"6","12","2011","14","10","2014","0"
"74","2NGageU","|Social + Mobile + Local|Mobile Social|Mobile|MMO Games|Internet|Entertainment|Social Network Media|Consumers|Women|Games|","Mobile Social",58000,"operating","VT","VT - Other","Williston",1,"26","12","Q4","2011",58000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12","4","2012","12","4","2012","0"
